codigo_inep,nome_escola,codigo_ibge,latitude,longitude,tem_rampa,tem_banheiro_pcd,acesso_total
25131290,CENTRO DE EDUCACAO INFANTIL PROFESSORA JAKELLINE SANTA CRUZ MARTINS BARBOSA,2509701,-7.893975938,-37.12850943,True,True,True
25133217,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL SANTA FILOMENA,2509701,-7.890973333,-37.128815,True,True,True
25152602,EDUCANDARIO JANSEN FILHO,2509701,-7.893712,-37.11424,False,False,False
25284940,IFPB - CAMPUS MONTEIRO,2509701,-7.905617994,-37.11988273,True,True,True
25069632,CENTRO EDUCACIONAL DE ENS FUND EPAMINONDAS TORRES DE AQUINO,2509800,-7.0308905,-35.4662775,True,True,False
25069640,COLEGIO MUNICIPAL LUIS GALDINO SALES,2509800,-7.034349,-35.4665949,True,True,False
25069659,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL MANOEL GOMES DE SOUZA,2509800,-6.9581965,-35.4003795,True,False,False
25069675,ECIT MAJOR ANTONIO DE AQUINO,2509800,-7.026117,-35.4655569,False,True,False
25069683,EEEFM JARDILINA CRUZ PEREIRA,2509800,-6.967404767,-35.43095139,True,True,False
25069721,EEEF D AMARO BELTRAO,2509800,-7.0313726,-35.4688804,False,False,False
25069799,GRUPO ESCOLAR OLINDINA ARQUILINA DO NASCIMENTO,2509800,-7.0293974,-35.4951305,True,False,False
25069870,GRUPO ESCOLAR EMIDIO JOAQUIM ALVES,2509800,-6.9614562,-35.4499226,True,False,False
25069888,GRUPO ESCOLAR ISAURA MARIA DA CONCEICAO,2509800,-6.9774104,-35.3442055,False,False,False
25069896,GRUPO ESCOLAR MANOEL FELIPE DA SILVA,2509800,-6.9426866,-35.3429583,False,False,False
25069926,GRUPO ESCOLAR MARIA RUFINO DE MOURA,2509800,-6.9966818,-35.4566718,True,False,False
25069985,GRUPO ESCOLAR ANTONIA MARIA DA COICEICAO,2509800,-7.0341534,-35.4927526,True,False,False
25070002,GRUPO ESCOLAR MUNICIPAL FRANCISCO CAMILO PEREIRA,2509800,-6.9951329,-35.4757964,True,False,True
25070029,GRUPO ESCOLAR MAXIMO DE SOUZA MALHEIROS,2509800,-7.0064424,-35.3705347,False,False,False
25070037,GRUPO ESCOLAR JOSE LINS SOBRINHO,2509800,-6.9650082,-35.3754516,False,False,False
25112511,CRECHE MUNICIPAL GUILHERMINA PEREIRA,2509800,-7.0299574,-35.4663969,True,False,False
25129660,CRECHE MUNICIPAL OLIVIA TRIGUEIRO DE MORAIS,2509800,-6.9934882,-35.4774216,True,False,True
25084526,ECIT FRANCISCO DE ALBUQUERQUE MONTENEGRO,2509909,-7.63967818,-35.55234277,True,True,False
25084542,EEEF DOUTOR CARLOS PESSOA,2509909,-7.642148836,-35.55436333,True,False,False
25084585,EMEIF EDUARDO FERREIRA MACIEL,2509909,-7.645056456,-35.62421721,True,False,False
25084674,ESCOLA MUNICIPAL PEDACINHO DE AMOR,2509909,-7.6400778,-35.5538081,True,True,True
25084712,EMEIF ARGEMIRO DE FIGUEIREDO,2509909,-7.62351623,-35.57815078,False,False,False
